Key,ko,jp,en
title,미래로 가는 차표 - 7월의 어느 날을 향하여,未来へ行くための切符 - 7月のある日へ,A Ticket to the Future - Toward a Day in July
sys.game_end.to_title,타이틀 화면,タイトル画面,Title Screen
sys.game_end.continue,이어하기,続き,Continue
sign.forester,숲가는 길,森の道,Path to the Forest
sign.village,마을가는 길,村の道,Path to the Village
sign.flower_field,들판가는 길,田んぼの道,Path to the Field
sign.vash_house,스탬피드 저택으로 가는 길,スタンピード邸への道,Path to Stampede's Mansion
sign.wolfwood_house,울프우드 가,ウルフウッド通り,To Wolfwood's House
sign.wood_shop,리비오의 뚝딱 목공소,リビオのドタバタ木工所,Livio's Woodworking Shop
ctr.description,"[이동] 화살표
[확인] space키
[메뉴] esc키
[빨리 감기] 확인 키 길게 누르기","[移動]矢印
[確認] spaceキー
[メニュー]escキー
[早送り]確認キー長押し","[Movement] Arrow Keys
[Confirm] Spacebar
[Menu] Esc Key
[Fast Forward] Hold Confrim Key"
ctr.title,조작 방법 안내,操作方法案内,Control Guide
m_wolfwood,울프우드,ウルフウッド,Wolfwood
m_vash,밧슈,バッシュ,Vash
s_wolfwood,니콜라스,ニコラス,Nicholas
s_vash,스탬피드,スタンピード,Stampede
livio,리비오,リビオ,Livio
s_knives,나이브스,ナイブス,Knives
neco,검은 고양이,黒猫,The black cat
ev1,울프우드가의 가족사진,ウルフウッド家の家族写真,Family photo of the Wolfwood family
ev2,밧슈는 엄청난 동안인듯하다. 비결이 뭘까?,バッシュはものすごい間があるようだ。秘訣は何だろう？,Vash looks incredibly youthful. What's the secret?
ev3,새 조각,新しい彫刻,A wooden bird carving
ev4,지금은 양 날개의 밸런스가 잘 맞는다,今は両翼のバランスがよく合っている,The balance of both wings is perfect now
ev5,오래된 나무에 균열이 갔다.,古い木に亀裂が入った。,The old wood floor has cracked.
ev6,조만간 수리해야겠지?,そのうち修理しないとね。,I'll need to fix it soon.
ev7,"아부지 한티 속은 것 같지만, 약속한 일은 처리해야겠지..",お父さんに騙されたみたいだけど、約束したことはやり遂げないとね。,"I feel like I was tricked by father, but I need to handle the promised task.."
ev8,무슨 일을 시작할까?,どんな仕事を始めようか？,What task should I start?
ev9,좋다. 함 해보자!,いいぞ。やってみよう！,Good. Let's try it!
ev10,진행 중인 심부름을 먼저 마무리하자.,進行中の用事を先に終わらせよう。,Let's finish the current task first.
ev11,이걸 고치려면 수리 도구가 필요하긋다.,これを直すには修理道具が必要だな。,I need repair tools to fix this.
ev12,아재한테 빌려야 쓰겄네.,おじさんに借りるしかないな。,I need to borrow some from the uncle.
ev13,퀘스트: 장작을 패자!,クエスト：薪を倒そう！,Quest: Chop firewood!
ev14,퀘스트: 창고방을 정리하자!,クエスト：倉庫の部屋を片付けよう！,Quest: Organize the storage room!
ev15,퀘스트: 제라늄을 키우자!,クエスト：ゼラニウムを育てよう！,Quest: Gardening geraniums!
ev16,창고방을 살펴보기,倉庫の部屋を調べる,Check the storage room
